seq_6941_11,seq_2585_2,seq_10967_12,seq_12715_30,seq_14254_27,seq_18821_9,seq_5478_50,seq_10663_42,seq_3204_2,seq_6918_183,seq_21526_88,seq_18859_7,seq_10562_42,seq_15640_54,seq_11105_171,seq_19496_1,seq_3434_34,seq_14337_1,seq_12387_7,seq_5661_15,seq_4982_54,seq_24707_6,seq_18382_109,seq_21153_5,seq_14023_84,seq_19347_37,seq_20161_41,seq_6342_10,seq_23371_5,seq_4542_24,seq_21961_14,seq_21477_105,seq_12549_33,seq_12684_5,seq_5701_81,seq_16892_23,seq_5009_11,seq_5601_2,seq_25452_16,seq_9366_54,seq_25501_128,seq_17761_2,seq_4131_72,seq_20187_10,seq_6334_9,seq_16074_12,seq_6225_3,seq_7215_18,seq_5011_11,seq_4891_50
1110.1,6631.2,2117.0,207.2,2037.3,13214.7,445.1,359.1,3443.7,1361.9,1371.4,179.4,404.9,2351.4,53457.0,1600.9,7108.3,1064.2,421.0,475.9,10000.0,540.4,1292.4,18970.6,1175.0,492.1,45255.1,870.9,5265.1,17794.4,671.1,1095.9,3647.3,3398.0,7619.9,2528.6,744.5,32014.4,268.4,840.2,1527.0,2104.6,30534.4,3793.4,734.6,1641.9,3390.7,1639.4,1522.7,3903.4
1605.1,3316.7,1448.8,1606.0,1811.2,14410.7,235.1,267.5,11483.3,1355.6,688.1,164.8,582.6,2616.0,37223.7,1359.5,6108.8,1037.3,1780.3,1666.4,15291.3,319.1,1032.7,18943.4,2667.3,254.3,41074.6,945.2,27399.1,16726.8,1094.3,1093.2,2594.3,3104.5,6835.7,1250.1,973.4,30740.3,178.1,1123.4,1397.1,2139.4,24676.5,3203.3,1063.6,1522.6,3218.1,2816.0,3298.8,2540.2
1411.1,6358.2,1918.1,266.5,2356.9,10611.0,263.1,246.1,14790.4,1915.9,1170.0,178.8,628.9,3107.5,31015.0,1329.9,13742.2,1074.3,755.6,854.4,12422.1,278.9,1285.0,7740.8,1697.2,269.1,44776.9,1921.6,17148.8,15575.9,760.2,1100.0,3750.6,3376.1,7715.8,1694.9,2041.3,34578.3,192.7,1099.5,1282.6,2139.3,56224.7,3746.4,753.5,1256.9,3560.5,1516.1,2023.7,2236.7
1477.1,4689.8,1718.9,398.1,1920.3,16347.7,161.1,293.2,4352.7,1161.5,794.8,158.2,287.0,2449.1,136768.5,1894.2,7947.9,1156.9,469.0,963.8,5891.6,1806.0,1063.3,36022.2,1658.5,355.8,24377.6,979.2,3080.1,15971.6,1117.6,840.7,1587.8,2085.8,5145.9,3509.0,909.6,35104.0,211.1,1549.3,1207.2,2095.5,30897.2,1554.5,1060.1,1325.2,3858.9,1246.2,2626.9,1816.1
2255.2,1144.4,661.5,4361.1,4316.8,66294.9,197.5,402.2,4857.8,794.6,766.0,243.5,5797.9,4080.5,734.2,892.8,3866.5,2037.0,579.6,1497.9,6016.3,267.9,1249.4,5650.4,7523.8,304.3,28659.9,640.3,36401.9,26778.2,1914.8,1494.3,2812.5,5991.8,5066.4,1636.7,1510.8,35987.5,235.6,1263.4,4134.4,1696.6,9373.4,2337.3,1155.2,7119.0,3103.6,4308.8,1117.0,1159.9
1952.3,7812.1,2326.9,213.6,1753.3,8137.1,142.1,326.3,3924.0,982.4,1211.4,155.1,478.2,2342.1,45606.4,1615.0,6388.9,1255.3,477.1,544.5,9384.8,383.2,1290.9,12246.3,1696.5,296.9,36674.0,1144.7,13252.9,17348.3,617.4,1168.2,2312.1,4128.3,5158.7,1736.6,802.4,29591.5,225.4,851.6,1813.2,2136.5,26023.0,3203.8,1688.3,1534.3,3380.4,2877.5,1943.6,1980.2
2025.2,3979.2,1944.9,387.4,2191.5,8472.2,143.2,335.8,2419.7,1711.0,663.9,158.8,1351.6,1792.3,21767.6,1491.0,15162.4,1181.7,472.8,614.2,4220.5,265.2,1217.5,9931.1,2111.2,300.3,45710.6,2739.8,7985.5,16867.7,698.6,1118.9,3897.7,3783.7,7648.9,2468.1,621.4,29755.5,227.6,992.3,1372.2,1703.1,59170.9,4803.2,706.9,1694.8,3466.8,3165.8,1570.4,2510.8
890.5,3357.7,1345.7,228.7,2036.0,12762.9,729.3,275.8,11004.7,771.8,983.3,134.6,747.0,1677.5,45008.8,1645.9,12870.3,977.7,493.9,907.9,3642.9,659.2,1118.2,19362.7,1969.9,247.5,27439.5,1641.1,19094.3,18528.4,880.7,1020.7,3310.0,3171.6,6907.1,2656.4,658.9,38046.4,200.6,1133.0,1195.6,4820.9,59099.2,2586.6,818.8,1223.2,2957.9,1904.7,2187.7,703.6
1464.9,4213.5,1776.6,1161.0,2408.0,19376.0,134.3,325.1,9276.0,831.1,541.0,142.0,653.5,1818.4,26892.4,1524.5,4192.8,907.4,478.5,930.3,3696.0,425.1,959.3,9308.1,2027.6,330.5,33151.7,734.3,29424.0,18707.1,700.2,1130.3,2798.3,3635.7,5672.0,1514.7,734.4,31463.7,203.5,1155.6,1951.0,1505.6,16507.7,3093.7,806.6,1477.8,4046.2,5947.2,1802.0,1049.7
910.5,3731.1,1609.9,269.1,1549.4,14956.2,117.5,274.1,6749.0,1078.3,483.2,155.4,450.9,2027.8,47644.8,1440.2,5425.6,601.3,375.5,858.7,3528.3,468.2,782.6,30112.9,1709.7,231.9,36410.0,959.7,23219.0,20552.2,1022.2,1146.5,2533.3,2659.4,6996.5,1833.7,1001.9,27049.7,201.0,1002.7,1453.9,2446.2,20662.9,4671.3,1365.9,1417.0,2823.0,5587.4,1944.6,1473.6
